Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,MeSH terms,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
745,pub.1084164747,10.1080/13555502.2017.1301178,,,Stuck in the Middle: Developing Research Workflows for a Multi-scale Text Analysis,,"No potential conflict of interest was reported by the author. The author would like to acknowledge the efforts of the following undergraduate researchers at Loughborough University: Will Dickinson, Alice Gilbert, Ollie Luhrs, Alex Mackinder, Pooja Makwana, Matthew McCulloch, Jonny Ord, Emily Stanyard and Rebecca Thompson.",Journal of Victorian Culture,,Oxford University Press (OUP),,2017,2017-03-21,2017-04-03,22,2,1-8,All OA; Bronze,Article,"Beals, M. H.","Beals, M. H. (Loughborough University, UKCorrespondenceM.H.Beals@lboro.ac.uk)",,"Beals, M. H. (Loughborough University)",Loughborough University,grid.6571.5,Loughborough,England,United Kingdom,,,,,,2,0,,3.67,7,https://academic.oup.com/jvc/article-pdf/22/2/224/22332321/jvcult0224.pdf,https://app.dimensions.ai/details/publication/pub.1084164747,"2005 Literary Studies; 20 Language, Communication and Culture; 21 History and Archaeology; 2002 Cultural Studies; 2103 Historical Studies",,,,,,,,,
745,pub.1050195693,10.1515/opli-2016-0026,,,Approaching Questions of Text Reuse in Ancient Greek Using Computational Syntactic Stylometry,"We are investigating methods by which data from dependency syntax treebanks of ancient Greek can be applied to questions of authorship in ancient Greek historiography. From the Ancient Greek Dependency Treebank were constructed syntax words (sWords) by tracing the shortest path from each leaf node to the root for each sentence tree. This paper presents the results of a preliminary test of the usefulness of the sWord as a stylometric discriminator. The sWord data was subjected to clustering analysis. The resultant groupings were in accord with traditional classifications. The use of sWords also allows a more fine-grained heuristic exploration of difficult questions of text reuse. A comparison of relative frequencies of sWords in the directly transmitted Polybius book 1 and the excerpted books 9–10 indicate that the measurements of the two texts are generally very close, but when frequencies do vary, the differences are surprisingly large. These differences reveal that a certain syntactic simplification is a salient characteristic of Polybius’ excerptor, who leaves conspicuous syntactic indicators of his modifications.",,Open Linguistics,,De Gruyter,,2016,2016-11-02,,2,1,,All OA; Gold,Article,"Gorman, Vanessa B.; Gorman, Robert J.","Gorman, Vanessa B. (Dept. of History, University of Nebraska-Lincoln, Lincoln, NE United States); Gorman, Robert J. (Dept. of Classics and Religious Studies, University of Nebraska-Lincoln)",,"Gorman, Vanessa B. (University of Nebraska–Lincoln); Gorman, Robert J. (University of Nebraska–Lincoln)",University of Nebraska–Lincoln,grid.24434.35,Lincoln,Nebraska,United States,,,,,,4,1,,11.32,,https://doi.org/10.1515/opli-2016-0026,https://app.dimensions.ai/details/publication/pub.1050195693,"2005 Literary Studies; 20 Language, Communication and Culture",,,,,,,,D29 Classics,
745,pub.1001721011,10.1080/01615440.2015.1007194,,,A Comparative Approach to Identifying the Irish in Long Eighteenth-Century London,"Historians seeking to identify the Irish have overwhelmingly relied upon nominal record linkage, thus limiting studies to periods and contexts in which corroborating records exist. Surname analysis provides an alternative: a subset of 283 Irish surnames was able to correctly isolate 40 percent of known Irish individuals across thousands of entries, which is sufficient for sampling the Irish in demographic studies. This conclusion was based on an analysis of 278,949 names from the London area in the 1841 census, and was tested and refined against 42,248 historical records pertaining to the poor in London between 1777 and 1820.","The author would like to thank Angela Kedgley, Janice Turner, Amanda Goodrich, Ian McBride, and Willard McCarty for commenting on earlier versions of this manuscript, and to the attendees of the British History in the Long Eighteenth Century seminar at the Institute of Historical Research (2012), and the participants at the London Irish Conference at the University of Warwick (2012) for their questions and comments on the article.",Historical Methods A Journal of Quantitative and Interdisciplinary History,,Taylor & Francis,,2015,2015-07-16,2015-07-03,48,3,141-152,All OA; Green,Article,"Crymble, Adam","Crymble, Adam (Department of History, University of Hertfordshire)",,"Crymble, Adam (University of Hertfordshire)",University of Hertfordshire,grid.5846.f,Hatfield,,United Kingdom,,,,,,4,0,,7.44,7,http://uhra.herts.ac.uk/bitstream/2299/16184/3/Irish_Surnames_in_London_2014_repositoryVersion.pdf,https://app.dimensions.ai/details/publication/pub.1001721011,2103 Historical Studies; 21 History and Archaeology,,,,,,,,D28 History,
745,pub.1139423824,10.5334/johd.31,,,The Telegram Chronicles of Online Harm,"Harmful language is frequent in social media, in particular in spaces which are considered anonymous and/or allow free participation. In this paper, we analyze the language in a Telegram channel populated by followers of former US President Donald Trump. We seek to identify the ways in which harmful language is used to create a specific narrative in a group of mostly like-minded discussants. Our research has several aims. First, we create an extended taxonomy of potentially harmful language that includes not only hate speech and direct insults (which have been the focus of existing computational methods), but also other forms of harmful speech discussed in the literature. We manually apply this taxonomy to a large portion of the corpus, including the time period leading up to and the aftermath of the January 2021 US Capitol riot. Our data gives empirical evidence for harmful speech, such as in/out-group divisive language and the use of codes within certain communities, that have not often been investigated before. Second, we compare our manual annotations of harmful speech to several automatic methods for classifying hate speech and offensive language, namely list-based and machine-learning-based approaches. We find that the Telegram data sets still pose particular challenges for these automatic methods. Finally, we argue for the value of studying such naturally-occurring, coherent data sets for research on online harm and how to address it in linguistics and philosophy.",,Journal of Open Humanities Data,,Ubiquity Press,,2021,,2021,7,0,,All OA; Gold,Article,"Scheffler, Tatjana; Solopova, Veronika; Popa-Wyatt, Mihaela","Scheffler, Tatjana (German Studies, Ruhr-Universität Bochum, Bochum); Solopova, Veronika (Dahlem Center for Machine Learning and Robotics, Freie Universität Berlin, Berlin); Popa-Wyatt, Mihaela (Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin)",,"Scheffler, Tatjana (Ruhr University Bochum); Solopova, Veronika (Freie Universität Berlin); Popa-Wyatt, Mihaela (Leibniz-Centre General Linguistics)",Freie Universität Berlin; Ruhr University Bochum; Leibniz-Centre General Linguistics,grid.14095.39; grid.5570.7; grid.473828.2,Berlin; Bochum; Berlin,; Nordrhein-Westfalen; ,Germany; Germany; Germany,,,,,,1,1,,,35,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.31/galley/53/download/,https://app.dimensions.ai/details/publication/pub.1139423824,"2004 Linguistics; 0801 Artificial Intelligence and Image Processing; 20 Language, Communication and Culture; 08 Information and Computing Sciences",,,,,,,,B11 Computer Science and Informatics,
745,pub.1121627715,10.1093/llc/fqz070,,,Author identification of short texts using dependency treebanks without vocabulary,"Abstract How to classify short texts effectively remains an important question in computational stylometry. This study presents the results of an experiment involving authorship attribution of ancient Greek texts. These texts were chosen to explore the effectiveness of digital methods as a supplement to the author’s work on text classification based on traditional stylometry. Here it is crucial to avoid confounding effects of shared topic, etc. Therefore, this study attempts to identify authorship using only morpho-syntactic data without regard to specific vocabulary items. The data are taken from the dependency annotations published in the Ancient Greek and Latin Dependency Treebank. The independent variables for classification are combinations generated from the dependency label and the morphology of each word in the corpus and its dependency parent. To avoid the effects of the combinatorial explosion, only the most frequent combinations are retained as input features. The authorship classification (with thirteen classes) is done with standard algorithms—logistic regression and support vector classification. During classification, the corpus is partitioned into increasingly smaller ‘texts’. To explore and control for the possible confounding effects of, e.g. different genre and annotator, three corpora were tested: a mixed corpus of several genres of both prose and verse, a corpus of prose including oratory, history, and essay, and a corpus restricted to narrative history. Results are surprisingly good as compared to those previously published. Accuracy for fifty-word inputs is 84.2–89.6%. Thus, this approach may prove an important addition to the prevailing methods for small text classification.",,Digital Scholarship in the Humanities,,Oxford University Press (OUP),,2019,2019-10-24,2020-12-01,35,4,fqz070-,All OA; Hybrid,Article,"Gorman, Robert","Gorman, Robert (Classics & Religious Studies, University of Nebraska-Lincoln, Lincoln, Nebraska, USA)",,"Gorman, Robert (University of Nebraska–Lincoln)",University of Nebraska–Lincoln,grid.24434.35,Lincoln,Nebraska,United States,,,,,,5,3,,2.5,7,https://academic.oup.com/dsh/article-pdf/35/4/812/34084883/fqz070.pdf,https://app.dimensions.ai/details/publication/pub.1121627715,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,,,,,,,,B11 Computer Science and Informatics,
745,pub.1084398028,10.22230/src.2014v5n4a187,,,Digital Bibliography and Global Shakespeare,"0 0 1 245 1397 Texas A&M University 11 3 1639 14.0 Normal 0 false false false EN-US JA X-NONE Although there is currently “much ado about” global Shakespeare studies, this field has been thriving for decades – even centuries. This article outlines the role of the World Shakespeare Bibliography Online ( WSB Online ) in the past and future of global Shakespeare studies, exploring how digital scholarly practices, including open access periodicals and institutional repositories, are changing the bibliography’s workflow and presentation of materials. Ultimately, the digital nature of the World Shakespeare Bibliography further opens the door to global Shakespeare studies and participates in recovering early research in the field. The WSB is the result of global scholarly collaboration; it is itself an early global Shakespeare studies project that works to foster further scholarship in the field.",,Scholarly and Research Communication,,CISP Journal Services,,2014,2014-12-16,,5,4,,All OA; Hybrid,Article,"Estill, Laura","Estill, Laura (Texas A&M University)",,"Estill, Laura (Texas A&M University System)",Texas A&M University System,grid.264763.2,College Station,Texas,United States,,,,,,4,1,,9.84,,https://doi.org/10.22230/src.2014v5n4a187,https://app.dimensions.ai/details/publication/pub.1084398028,"2005 Literary Studies; 20 Language, Communication and Culture",,,,,,,,D27 English Language and Literature,
724,pub.1117170797,10.17813/1086-671x-24-2-157,,,GENDER AND RACE IN THE OCCUPY MOVEMENT: RELATIONAL LEADERSHIP AND DISCRIMINATORY RESISTANCE*,"When social movement leaders direct protesters during marches or make decisions during meetings, followers accept and validate, or oppose and ignore them. Yet most leadership theories neither account for follower responses nor explain how followers' expectations about gender and race status-hierarchies influence their actions. Drawing on participant observation, an archive of movement documents, and 73 in-depth interviews with key informants in the occupy movement, I reveal how followers enacted forms of “discriminatory resistance” that impeded women and genderqueer persons' leadership. I argue that followers fell back on gender and racial stereotypes about white men as ideal leaders. Followers opposed women and genderqueer persons from all races and ethnicities using harassment and male dominance, and by creating a hostile culture. Findings suggest that even leaders and followers in nonhierarchical social movements construct gender and race differences in leadership similar to leadership stratification in more hierarchical organizations.",,Mobilization An International Quarterly,,Mobilization Journal,,2019,,2019-06-01,24,2,157-176,Closed,Article,"Hurwitz, Heather McKee","Hurwitz, Heather McKee ()",,"Hurwitz, Heather McKee ()",,,,,,,,,,,3,1,,2.82,12,,https://app.dimensions.ai/details/publication/pub.1117170797,16 Studies in Human Society; 1699 Other Studies In Human Society,Clinical Research,,,,,,,C17 Business and Management Studies,
723,pub.1145740404,10.1515/lingvan-2021-0053,,,The Lothian Diary Project: sociolinguistic methods during the COVID-19 lockdown,"Abstract The Lothian Diary Project is an interdisciplinary effort to collect self-recorded audio or video diaries of people’s experiences of COVID-19 in and around Edinburgh, Scotland. In this paper we describe how the project emerged from a desire to support community members. The diaries have been disseminated through public events, a website, an oral history project, and engagement with policymakers. The data collection method encouraged the participation of people with disabilities, racialized individuals, immigrants, and low-proficiency English/Scots speakers, all of whom are more likely to be negatively affected by COVID-19. This is of interest to sociolinguists, given that these groups have been under-represented in previous studies of linguistic variation in Edinburgh. We detail our programme of partnering with local charities to help ensure that digitally disadvantaged groups and their caregivers are represented. Accompanying survey and demographic data means that this self-recorded speech can be used to complement existing Edinburgh speech corpora. Additional sociolinguistic goals include a narrative analysis and a stylistic analysis, to characterize how different people engage creatively with the act of creating a COVID-19 diary, especially as compared to vlogs and other video diaries.","This work would not have been possible without the generous contributions from the diary contributors. Thanks also goes to the community partners who have helped to make this research possible: Carr Gomm, Dr Bell’s Family Centre, the Edinburgh Society of Model Engineers, LinkLiving, People First (Scotland), Redwoods Caring Foundation, Streetwork, Super Power Agency, the Thistle Foundation, West Lothian Financial Inclusion Network, and the Welcoming Association. Special thanks to Monty Roy of the Leith Walk Police Box pop-up space. The following were sources of financial support: the ESRC Festival of Social Sciences; the Being Human Festival; the University of Edinburgh’s College of Arts, Humanities, and Social Sciences Research Office; an ESRC Impact Acceleration Grant awarded to the University of Edinburgh; the School of Philosophy, Psychology, and Language Sciences’ Knowledge Exchange and Impact Office; and the Centre for Doctoral Training in Natural Language Processing, funded by the UKRI and the School of Informatics and School of Philosophy, Psychology &amp; Language Sciences of the University of Edinburgh.",Linguistics Vanguard,,De Gruyter,,2022,2022-02-22,2022-03-01,8,s3,321-330,All OA; Hybrid,Article,"Hall-Lew, Lauren; Cowie, Claire; Lai, Catherine; Markl, Nina; McNulty, Stephen Joseph; Liu, Shan-Jan Sarah; Llewellyn, Clare; Alex, Beatrice; Elliott, Zuzana; Klingler, Anita","Hall-Lew, Lauren (Linguistics and English Language, University of Edinburgh, Edinburgh, UK); Cowie, Claire (Linguistics and English Language, University of Edinburgh, Edinburgh, UK); Lai, Catherine (Linguistics and English Language, University of Edinburgh, Edinburgh, UK); Markl, Nina (Institute for Language, Cognition and Computation, University of Edinburgh, Edinburgh, UK); McNulty, Stephen Joseph (Linguistics and English Language, University of Edinburgh, Edinburgh, UK); Liu, Shan-Jan Sarah (Politics and International Relations, University of Edinburgh, Edinburgh, UK); Llewellyn, Clare (Neuropolitics Research Labs, University of Edinburgh, Edinburgh, UK); Alex, Beatrice (Edinburgh Futures Institute, University of Edinburgh, Edinburgh, UK); Elliott, Zuzana (Linguistics and English Language, University of Edinburgh, Edinburgh, UK); Klingler, Anita (History, University of Edinburgh, Edinburgh, UK)","Hall-Lew, Lauren (University of Edinburgh)","Hall-Lew, Lauren (University of Edinburgh); Cowie, Claire (University of Edinburgh); Lai, Catherine (University of Edinburgh); Markl, Nina (University of Edinburgh); McNulty, Stephen Joseph (University of Edinburgh); Liu, Shan-Jan Sarah (University of Edinburgh); Llewellyn, Clare (University of Edinburgh); Alex, Beatrice (University of Edinburgh); Elliott, Zuzana (University of Edinburgh); Klingler, Anita (University of Edinburgh)",University of Edinburgh,grid.4305.2,Edinburgh,,United Kingdom,Economic and Social Research Council,cOAlition S; ICRP - International Cancer Research Partnership; UKRI - UK Research and Innovation,United Kingdom,,,0,0,,,17,https://www.degruyter.com/document/doi/10.1515/lingvan-2021-0053/pdf,https://app.dimensions.ai/details/publication/pub.1145740404,2103 Historical Studies; 21 History and Archaeology,Behavioral and Social Science,,,,,,,D27 English Language and Literature,
723,pub.1136664155,10.1093/llc/fqab032,,,A data-driven approach to studying changing vocabularies in historical newspaper collections,"Abstract Nation and nationhood are among the most frequently studied concepts in the field of intellectual history. At the same time, the word ‘nation’ and its historical usage are very vague. The aim in this article was to develop a data-driven method using dependency parsing and neural word embeddings to clarify some of the vagueness in the evolution of this concept. To this end, we propose the following two-step method. First, using linguistic processing, we create a large set of words pertaining to the topic of nation. Second, we train diachronic word embeddings and use them to quantify the strength of the semantic similarity between these words and thereby create meaningful clusters, which are then aligned diachronically. To illustrate the robustness of the study across languages, time spans, as well as large datasets, we apply it to the entirety of five historical newspaper archives in Dutch, Swedish, Finnish, and English. To our knowledge, thus far there have been no large-scale comparative studies of this kind that purport to grasp long-term developments in as many as four different languages in a data-driven way. A particular strength of the method we describe in this article is that, by design, it is not limited to the study of nationhood, but rather expands beyond it to other research questions and is reusable in different contexts.",,Digital Scholarship in the Humanities,,Oxford University Press (OUP),,2021,2021-11-05,2021-11-05,36,Supplement_2,ii109-ii126,All OA; Hybrid,Article,"Hengchen, Simon; Ros, Ruben; Marjanen, Jani; Tolonen, Mikko","Hengchen, Simon (Språkbanken Text, University of Gothenburg, Sweden and iguanodon.ai, Belgium); Ros, Ruben (Centre for Contemporary and Digital History (C2DH), University of Luxembourg, Luxembourg); Marjanen, Jani (); Tolonen, Mikko (Helsinki Computational History Group, University of Helsinki, Finland)",,"Hengchen, Simon (University of Gothenburg); Ros, Ruben (University of Luxembourg); Marjanen, Jani (); Tolonen, Mikko (University of Helsinki)",University of Gothenburg; University of Helsinki; University of Luxembourg,grid.8761.8; grid.7737.4; grid.16008.3f,Gothenburg; Helsinki; Luxembourg,; ; ,Sweden; Finland; Luxembourg,European Commission; Swedish Research Council,cOAlition S; EC & ERC - European Union,Belgium; Sweden,grant.7612965,770299,0,0,,,9,https://academic.oup.com/dsh/article-pdf/36/Supplement_2/ii109/41091152/fqab032.pdf,https://app.dimensions.ai/details/publication/pub.1136664155,"2004 Linguistics; 20 Language, Communication and Culture",,,,,,,,B11 Computer Science and Informatics,
723,pub.1035489005,10.1080/03071022.2014.975943,,,"Loose, idle and disorderly: vagrant removal in late eighteenth-century Middlesex",,,Social History,,Taylor & Francis,,2014,2014-12-13,2014-10-02,39,4,509-527,All OA; Green,Article,"Hitchcock, Tim; Crymble, Adam; Falcini, Louise","Hitchcock, Tim (University of Sussex, King's College London and the University of Reading); Crymble, Adam (University of Sussex, King's College London and the University of Reading); Falcini, Louise (University of Sussex, King's College London and the University of Reading)",,"Hitchcock, Tim (); Crymble, Adam (); Falcini, Louise ()",,,,,,,,,,,8,1,,13.83,46,http://sro.sussex.ac.uk/id/eprint/51704/1/RSHI_A_9759431.pdf,https://app.dimensions.ai/details/publication/pub.1035489005,2103 Historical Studies; 21 History and Archaeology,,,,,,,,,
722,pub.1132891355,10.1145/3397536.3422236,,,A Deep Learning Approach to Geographical Candidate Selection through Toponym Matching,"Recognizing toponyms and resolving them to their real-world referents is required to provide advanced semantic access to textual data. This process is often hindered by the high degree of variation in toponyms. Candidate selection is the task of identifying the potential entities that can be referred to by a previously recognized toponym. While it has traditionally received little attention, candidate selection has a significant impact on downstream tasks (i.e. entity resolution), especially in noisy or non-standard text. In this paper, we introduce a deep learning method for candidate selection through toponym matching, using state-of-the-art neural network architectures. We perform an intrinsic toponym matching evaluation based on several datasets, which cover various challenging scenarios (cross-lingual and regional variations, as well as OCR errors) and assess its performance in the context of geographical candidate selection in English and Spanish.",,,Proceedings of the 28th International Conference on Advances in Geographic Information Systems,Association for Computing Machinery (ACM),,2020,2020-11-03,2020-11-03,,,385-388,All OA; Green,Proceeding,"Ardanuy, Mariona Coll; Hosseini, Kasra; McDonough, Katherine; Krause, Amrey; van Strien, Daniel; Nanni, Federico","Ardanuy, Mariona Coll (The Alan Turing Institute, London, United Kingdom); Hosseini, Kasra (The Alan Turing Institute, London, United Kingdom); McDonough, Katherine (The Alan Turing Institute, London, United Kingdom); Krause, Amrey (Edinburgh Parallel Computing Centre, Edinburgh, United Kingdom); van Strien, Daniel (The British Library London, United Kingdom); Nanni, Federico (The Alan Turing Institute, London, United Kingdom)",,"Ardanuy, Mariona Coll (The Alan Turing Institute); Hosseini, Kasra (The Alan Turing Institute); McDonough, Katherine (The Alan Turing Institute); Krause, Amrey (); van Strien, Daniel (); Nanni, Federico (The Alan Turing Institute)",The Alan Turing Institute,grid.499548.d,London,,United Kingdom,,,,,,2,2,,1.45,,http://arxiv.org/pdf/2009.08114,https://app.dimensions.ai/details/publication/pub.1132891355,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,Clinical Research; Behavioral and Social Science,,,,,,,B11 Computer Science and Informatics,
722,pub.1131831601,10.3390/informatics7040044,,,A Corpus Approach to Roman Law Based on Justinian’s Digest,"Traditional philological methods in Roman legal scholarship such as close reading and strict juristic reasoning have analysed law in extraordinary detail. Such methods, however, have paid less attention to the empirical characteristics of legal texts and occasionally projected an abstract framework onto the sources. The paper presents a series of computer-assisted methods to open new frontiers of inquiry. Using a Python coding environment, we have built a relational database of the Latin text of the Digest, a historical sourcebook of Roman law compiled under the order of Emperor Justinian in 533 CE. Subsequently, we investigated the structure of Roman law by automatically clustering the sections of the Digest according to their linguistic profile. Finally, we explored the characteristics of Roman legal language according to the principles and methods of computational distributional semantics. Our research has discovered an empirical structure of Roman law which arises from the sources themselves and complements the dominant scholarly assumption that Roman law rests on abstract structures. By building and comparing Latin word embeddings models, we were also able to detect a semantic split in words with general and legal sense. These investigations point to a practical focus in Roman law which is consistent with the view that ancient law schools were more interested in training lawyers for practice rather than in philosophical neatness.",,Informatics,,MDPI,,2020,2020-10-15,,7,4,44,All OA; Gold,Article,"Ribary, Marton; McGillivray, Barbara","Ribary, Marton (School of Law, University of Surrey, Guildford GU2 7XH, UK); McGillivray, Barbara (Theoretical and Applied Linguistics, Faculty of Modern and Medieval Languages and Linguistics, University of Cambridge, Cambridge CB3 9DA, UK;, bm517@cam.ac.uk; The Alan Turing Institute, London NW1 2DB, UK)","Ribary, Marton (University of Surrey)","Ribary, Marton (University of Surrey); McGillivray, Barbara (University of Cambridge; The Alan Turing Institute)",The Alan Turing Institute; University of Surrey; University of Cambridge,grid.499548.d; grid.5475.3; grid.5335.0,London; Guildford; Cambridge,; Surrey; ,United Kingdom; United Kingdom; United Kingdom,Engineering and Physical Sciences Research Council; Leverhulme Trust,cOAlition S; UKRI - UK Research and Innovation,United Kingdom; United Kingdom,grant.7746871; grant.4576507,2019418; EP/N510129/1,0,0,,0.0,,https://www.mdpi.com/2227-9709/7/4/44/pdf,https://app.dimensions.ai/details/publication/pub.1131831601,08 Information and Computing Sciences; 0807 Library and Information Studies; 0806 Information Systems,,,,,,,,C18 Law,
709,pub.1138362114,10.1002/asi.24499,,,Harmonizing and publishing heterogeneous premodern manuscript metadata as Linked Open Data,"Manuscripts are a crucial form of evidence for research into all aspects of premodern European history and culture, and there are numerous databases devoted to describing them in detail. This descriptive information, however, is typically available only in separate data silos based on incompatible data models and user interfaces. As a result, it has been difficult to study manuscripts comprehensively across these various platforms. To address this challenge, a team of manuscript scholars and computer scientists worked to create “Mapping Manuscript Migrations” (MMM), a semantic portal, and a Linked Open Data service. MMM stands as a successful proof of concept for integrating distinct manuscript datasets into a shared platform for research and discovery with the potential for future expansion. This paper will discuss the major products of the MMM project: a unified data model, a repeatable data transformation pipeline, a Linked Open Data knowledge graph, and a Semantic Web portal. It will also examine the crucial importance of an iterative process of multidisciplinary collaboration embedded throughout the project, enabling humanities researchers to shape the development of a digital platform and tools, while also enabling the same researchers to ask more sophisticated and comprehensive research questions of the aggregated data.","This work was funded by the Trans‐Atlantic Platform under its Digging into Data Challenge37 for 2017–2020. The project was led by the University of Oxford, in partnership with the University of Pennsylvania, Aalto University, and Helsinki Centre for Digital Humanities (HELDIG) at the University of Helsinki, and the Institut de recherche et d&#x27;histoire des textes (IRHT). The authors wish to acknowledge CSC—IT Center for Science, Finland, for computational resources. The transformation of the Oxford Manuscript data into RDF builds upon earlier work by the OXLOD project. Authors who contributed to the writing of this paper are named first, followed (in alphabetical order) by authors who made a substantial contribution to the work reported here. The authors acknowledge the contributions of the following: Antoine Brix (IRHT), Petri Leskinen (Aalto University), Synnøve Myking (IRHT), Pierre‐Louis Pinault (IRHT), and Pip Willcox (University of Oxford).",Journal of the Association for Information Science and Technology,,Wiley,,2021,2021-05-26,2022-02,73,2,240-257,All OA; Hybrid,Article,"Koho, Mikko; Burrows, Toby; Hyvönen, Eero; Ikkala, Esko; Page, Kevin; Ransom, Lynn; Tuominen, Jouni; Emery, Doug; Fraas, Mitch; Heller, Benjamin; Lewis, David; Morrison, Andrew; Porte, Guillaume; Thomson, Emma; Velios, Athanasios; Wijsman, Hanno","Koho, Mikko (Semantic Computing Research Group (SeCo), Aalto University, Espoo, Finland; HELDIG—Helsinki Centre for Digital Humanities, University of Helsinki, Helsinki, Finland); Burrows, Toby (Oxford e‐Research Centre, University of Oxford, Oxford, UK); Hyvönen, Eero (Semantic Computing Research Group (SeCo), Aalto University, Espoo, Finland; HELDIG—Helsinki Centre for Digital Humanities, University of Helsinki, Helsinki, Finland); Ikkala, Esko (Semantic Computing Research Group (SeCo), Aalto University, Espoo, Finland); Page, Kevin (Oxford e‐Research Centre, University of Oxford, Oxford, UK); Ransom, Lynn (Schoenberg Institute for Manuscript Studies, University of Pennsylvania, Philadelphia, Pennsylvania, USA); Tuominen, Jouni (Semantic Computing Research Group (SeCo), Aalto University, Espoo, Finland; HELDIG—Helsinki Centre for Digital Humanities, University of Helsinki, Helsinki, Finland); Emery, Doug (Schoenberg Institute for Manuscript Studies, University of Pennsylvania, Philadelphia, Pennsylvania, USA); Fraas, Mitch (Schoenberg Institute for Manuscript Studies, University of Pennsylvania, Philadelphia, Pennsylvania, USA); Heller, Benjamin (Schoenberg Institute for Manuscript Studies, University of Pennsylvania, Philadelphia, Pennsylvania, USA); Lewis, David (Oxford e‐Research Centre, University of Oxford, Oxford, UK); Morrison, Andrew (Bodleian Libraries, University of Oxford, Oxford, UK); Porte, Guillaume (Institut de recherche et d'histoire des textes, Aubervilliers, France); Thomson, Emma (Schoenberg Institute for Manuscript Studies, University of Pennsylvania, Philadelphia, Pennsylvania, USA); Velios, Athanasios (Oxford e‐Research Centre, University of Oxford, Oxford, UK; Ligatus, University of the Arts London, London, UK); Wijsman, Hanno (Institut de recherche et d'histoire des textes, Aubervilliers, France)","Koho, Mikko (Aalto University; University of Helsinki)","Koho, Mikko (Aalto University; University of Helsinki); Burrows, Toby (University of Oxford); Hyvönen, Eero (Aalto University; University of Helsinki); Ikkala, Esko (Aalto University); Page, Kevin (University of Oxford); Ransom, Lynn (University of Pennsylvania); Tuominen, Jouni (Aalto University; University of Helsinki); Emery, Doug (University of Pennsylvania); Fraas, Mitch (University of Pennsylvania); Heller, Benjamin (University of Pennsylvania); Lewis, David (University of Oxford); Morrison, Andrew (University of Oxford); Porte, Guillaume (Institut de Recherche et d'Histoire des Textes); Thomson, Emma (University of Pennsylvania); Velios, Athanasios (University of Oxford; University of the Arts London); Wijsman, Hanno (Institut de Recherche et d'Histoire des Textes)",University of Oxford; University of the Arts London; University of Pennsylvania; Institut de Recherche et d'Histoire des Textes; Aalto University; University of Helsinki,grid.4991.5; grid.20364.33; grid.25879.31; grid.450127.5; grid.5373.2; grid.7737.4,Oxford; London; Philadelphia; Paris; Espoo; Helsinki,Oxfordshire; ; Pennsylvania; ; ; ,United Kingdom; United Kingdom; United States; France; Finland; Finland,French National Centre for Scientific Research,,France,,,2,2,,,13,https://doi.org/10.1002/asi.24499,https://app.dimensions.ai/details/publication/pub.1138362114,08 Information and Computing Sciences; 0806 Information Systems,,,,,,,,B11 Computer Science and Informatics,
