DOI,article_title,article_type,authors,date,downloads,views,tweets,data_collection_date,Times cited,Recent citations,Altmetric,FOR (ANZSRC) Categories,,,
10.5334/johd.21,Methods for Extracting Relational Data from Unstructured Texts Prior to Network Visualization in Humanities Research,Research Papers,"S. Scott Graham, Zoltan P. Majdik, Dave Clark",2020-11-19,57,322,9,2022-06-04,1,1,11,08 Information and Computing Sciences, 0801 Artificial Intelligence and Image Processing,,
10.5334/johd.19,The Cybernetics Thought Collective: Machine-Generated Data Using Computational Methods,Data Papers,Bethany G. Anderson,2020-10-27,32,194,2,2022-06-04,0,0,2,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.16,Introducing the Historical Index of Ethnic Fractionalization (HIEF) Dataset: Accounting for Longitudinal Changes in Ethnic Diversity,Research Papers,Lenka Drazanova,2020-09-11,377,3306,23,2022-06-04,19,19,12,1608 Sociology, 16 Studies in Human Society,,
10.5334/johd.15,Digital Second Edition of Judaica Americana: A Bibliography of Publications to 1900,Data Papers,Emily Esten,2020-07-02,15,212,10,2022-06-04,0,0,7,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.14,Mapping Manuscript Migrations Knowledge Graph: Data for Tracing the History and Provenance of Medieval and Renaissance Manuscripts,Data Papers,"Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, David Lewis, Andrew Morrison, Kevin Page, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman",2020-06-11,60,346,36,2022-06-04,3,3,21,08 Information and Computing Sciences, 2103 Historical Studies, 21 History and Archaeology, 0806 Information Systems
10.5334/johd.12,Computer-Assisted Language Comparison: State of the Art,Research Papers,"Mei-Shin Wu, Nathanael E. Schweikhard, Timotheus A. Bodt, Nathan W. Hill, Johann-Mattis List",2020-05-22,95,485,17,2022-06-04,6,6,11,"2004 Linguistics; 0801 Artificial Intelligence and Image Processing; 20 Language, Communication and Culture; 08 Information and Computing Sciences",,,
10.5334/johd.13,Dependency Treebanks of Ancient Greek Prose,Data Papers,Vanessa B. Gorman,2020-03-26,49,411,16,2022-06-04,3,3,25,"2005 Literary Studies; 20 Language, Communication and Culture",,,
10.5334/johd.11,Data from ‘The Dative Alternation Revisited: Fresh Insights from Contemporary British Spoken Data’,Data Papers,"Gard B. Jenset, Barbara McGillivray",2019-08-22,50,347,9,2022-06-04,0,0,3,"2004 Linguistics; 20 Language, Communication and Culture",,,
10.5334/johd.10,A Diachronic Comparison of the Vai Script of Liberia (1834–2005),Data Papers,"Olena Tykhostup, Piers Kelly",2018-02-12,100,1333,21,2022-06-04,0,0,13,"2004 Linguistics; 20 Language, Communication and Culture",,,
10.5334/johd.7,"Early African-American Film Database, 1909–1930",Data Papers,"Marika Cifor, Hanna Girma, Shanya Norman, Miriam Posner",2018-01-17,186,2186,43,2022-06-04,0,0,37,"1902 Film, Television and Digital Media; 2103 Historical Studies; 19 Studies in Creative Arts and Writing; 21 History and Archaeology",,,
10.5334/johd.9,Annotated References in the Historiography on Venice: 19th–21st centuries,Data Papers,"Giovanni Colavizza, Matteo Romanello",2017-11-21,40,440,2,2022-06-04,2,1,3,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.8,"Scissors and Paste: The Georgian Reprints, 1800–1837",Data Papers,M. Beals,2017-04-05,35,489,1,2022-06-04,2,2,3,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.4,Writing About Shakespeare: 1960–2010,Data Papers,"Laura Estill, Dominic Klyve",2016-11-25,55,712,7,2022-06-04,0,0,6,"2005 Literary Studies; 20 Language, Communication and Culture",,,
10.5334/johd.6,JSON-Encoded Textual Variance Between the Published Versions of David Mitchell’s Cloud Atlas in “an Orison of Sonmi ~451”,Data Papers,Martin Eve,2016-11-25,8,262,11,2022-06-04,0,0,14,"2005 Literary Studies; 20 Language, Communication and Culture",,,
10.5334/johd.3,The HathiTrust Research Center Workset Ontology: A Descriptive Framework for Non-Consumptive Research Collections,Research Papers,"Jacob Jett, Timothy Cole, Christopher Maden, J. Downie",2016-03-18,79,730,2,2022-06-04,12,4,4,2102 Curatorial and Related Studies, 21 History and Archaeology,,
10.5334/johd.2,Article Processing Charges Paid by 25 UK Universities in 2014,Data Papers,Stuart Lawson,2015-09-29,40,334,19,2022-06-04,5,1,9,1303 Specialist Studies In Education, 13 Education,,
10.5334/johd.1,"Vagrant Lives: 14,789 Vagrants Processed by the County of Middlesex, 1777–1786",Data Papers,"Adam Crymble, Louise Falcini, Tim Hitchcock",2015-09-29,68,978,38,2022-06-04,3,1,55,2103 Historical Studies, 21 History and Archaeology,,
