DOI,reponame,repourl,views,unique-views,downloads,unique-downloads,date
10.5334/johd.36,Zenodo,https://zenodo.org/record/4571507,166.0,145.0,124.0,107.0,2021-03-01
10.5334/johd.37,Zenodo,http://doi.org/10.5281/zenodo.4891842,25.0,20.0,21.0,10.0,2021-06-01
10.5334/johd.39,Zenodo,https://zenodo.org/record/4583802,410.0,346.0,132.0,123.0,2021-03-04
10.5334/johd.42,Zenodo,https://doi.org/10.5281/zenodo.4707811,109.0,83.0,10.0,10.0,2021-04-21
10.5334/johd.43,Zenodo,http://doi.org/10.5281/zenodo.4946479,123.0,108.0,10.0,8.0,2021-04-13
10.5334/johd.44,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QD94F9,,,65.0,,2021-06-09
10.5334/johd.45,Zenodo,https://doi.org/10.5281/zenodo.4748989,127.0,88.0,25.0,17.0,2021-05-10
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4905560,65.0,52.0,8.0,4.0,2021-06-07
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4746341,334.0,282.0,42.0,26.0,2021-05-10
10.5334/johd.47,Dataverse,https://doi.org/10.7910/DVN/5TEA5A,,,307.0,,2021-09-10
10.5334/johd.48,Zenodo,http://doi.org/10.5281/zenodo.4782245,447.0,337.0,383.0,187.0,2021-05-23
10.5334/johd.49,DANS,https://doi.org/10.17026/dans-zqk-zmqs,,,,,2021-03-13
10.5334/johd.54,Zenodo,http://doi.org/10.5281/zenodo.5615759,40.0,28.0,2.0,2.0,2021-10-29
10.5334/johd.55,Zenodo,https://doi.org/10.5281/zenodo.5074307,272.0,216.0,25.0,25.0,2021-07-06
10.5334/johd.56,Other,https://bl.iro.bl.uk/concern/datasets/f3686eb9-4227-45cb-9acb-0453d35e6a03,,,,,
10.5334/johd.57,Dataverse,https://doi.org/10.7910/DVN/BYPOOR,,,268.0,,2021-09-16
10.5334/johd.58,Zenodo,http://doi.org/10.5281/zenodo.5735624,155.0,110.0,423.0,22.0,2021-01-29
10.5334/johd.59,OSF,https://osf.io/daksh/,,,,,2021-01-31
10.5334/johd.62,Zenodo,https://doi.org/10.5281/zenodo.5591908,207.0,169.0,70.0,45.0,2021-10-14
10.5334/johd.63,Dataverse,http://doi.org/10.7910/DVN/BYNHX6,,,358.0,,2021-10-26
10.5334/johd.65,Zenodo,https://zenodo.org/record/5602978#.YkWwoihBwdV,192.0,121.0,131.0,85.0,2021-10-26
10.5334/johd.67,Other,https://www.loc.gov/search/?fa=contributor:by+the+people+%28program%29,,,,,
10.5334/johd.68,Dataverse,https://doi.org/10.7910/DVN/PAGGQS,,,14.0,,2021-05-26
10.5334/johd.69,Other/Dataverse,https://hdl.handle.net/10622/R9IHT4,,,32.0,,
10.5334/johd.70,Dataverse,http://doi.org/10.7910/DVN/JGL7LB,,,176.0,,2021-11-10
10.5334/johd.70,Dataverse,http://doi.org/10.7910/DVN/BVEOEX,,,179.0,,2021-11-10
10.5334/johd.70,Zenodo,http://doi.org/10.5281/zenodo.4950243,51.0,46.0,37.0,28.0,2021-06-14
10.5334/johd.71,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HAKKUA,,,115.0,,2021-11-23
10.5334/johd.74,Zenodo,https://zenodo.org/record/6220409#.YkWz-ihBwdU,200.0,145.0,75.0,31.0,2022-01-17
10.5334/johd.75,Other,http://doi.org/10.34847/nkl.bfc67gni,,,,,2022-03-08
10.5334/johd.76,Dataverse,http://doi.org/10.7910/DVN/CZ4PBO,,,23.0,,2022-04-06
