Unnamed: 0,DOI,reponame,repourl,views,unique-views,downloads,unique-downloads,date
19,10.5334/johd.23,Other,https://doi.org/10.23636/1136,,,,,NA
20,10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,445.0,403.0,215.0,201.0,2021-02-23
21,10.5334/johd.25,DataShare,https://datashare.ed.ac.uk/handle/10283/3866,204.0,,,,2021-03-30
22,10.5334/johd.27,Dataverse,https://doi.org/10.7910/DVN/IU1XFO,,,20.0,,2021-01-24
23,10.5334/johd.28,Zenodo,https://doi.org/10.5281/zenodo.3824950,1790.0,1611.0,196.0,173.0,2020-05-13
24,10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,445.0,403.0,215.0,201.0,2021-02-23
25,10.5334/johd.44,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QD94F9,,,65.0,,2021-06-09
26,10.5334/johd.31,OSF,https://osf.io/ck3gd/,,,,,NA
27,10.5334/johd.32,OSF,https://osf.io/ck3gd/,,,,,NA
28,10.5334/johd.33,Kaggle,https://doi.org/10.34740/kaggle/dsv/2250730,2939.0,,218.0,,NA
29,10.5334/johd.30,Zenodo,https://doi.org/10.5281/zenodo.4315208,598.0,498.0,77.0,60.0,2021-06-22
30,10.5334/johd.26,Figshare-Inst,https://kilthub.cmu.edu/articles/dataset/DH_Conference_Index_Data_-_9_22_2020/12987959/1,2642.0,,1036.0,,2020-09-22
31,10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4905560,55.0,49.0,8.0,4.0,2021-06-07
32,10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4746341,310.0,266.0,37.0,24.0,2021-05-10
33,10.5334/johd.34,Zenodo,https://doi.org/10.5281/zenodo.4562336,272.0,181.0,28.0,26.0,2021-02-12
34,10.5334/johd.42,Zenodo,https://doi.org/10.5281/zenodo.4707811,90.0,75.0,10.0,10.0,2021-04-21
35,10.5334/johd.35,Zenodo,https://doi.org/10.5281/zenodo.4569733,39.0,34.0,10.0,8.0,2021-03-01
36,10.5334/johd.45,Zenodo,https://doi.org/10.5281/zenodo.4748989,106.0,77.0,25.0,17.0,2021-05-10
37,10.5334/johd.39,Zenodo,https://zenodo.org/record/4583802,333.0,295.0,117.0,108.0,2021-03-04
38,10.5334/johd.48,Zenodo,http://doi.org/10.5281/zenodo.4782245,423.0,323.0,380.0,184.0,2021-05-23
39,10.5334/johd.36,Zenodo,https://zenodo.org/record/4571507,143.0,133.0,115.0,99.0,2021-03-01
40,10.5334/johd.47,Dataverse,https://doi.org/10.7910/DVN/5TEA5A,,,173.0,,2021-09-10
41,10.5334/johd.49,DANS,https://doi.org/10.17026/dans-zqk-zmqs,,,,,NA
42,10.5334/johd.55,Zenodo,https://doi.org/10.5281/zenodo.5074307,248.0,198.0,23.0,23.0,2021-07-06
43,10.5334/johd.57,Dataverse,https://doi.org/10.7910/DVN/BYPOOR,,,134.0,,2021-09-16
44,10.5334/johd.65,Zenodo,https://zenodo.org/record/5602978#.YkWwoihBwdV,155.0,106.0,120.0,75.0,2021-10-26
45,10.5334/johd.56,Other,https://bl.iro.bl.uk/concern/datasets/f3686eb9-4227-45cb-9acb-0453d35e6a03,,,,,NA
46,10.5334/johd.68,Dataverse,https://doi.org/10.7910/DVN/PAGGQS,,,14.0,,2021-05-26
47,10.5334/johd.67,Other,https://www.loc.gov/search/?fa=contributor:by+the+people+%28program%29,,,,,NA
48,10.5334/johd.71,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HAKKUA,,,102.0,,2021-11-23
49,10.5334/johd.74,Zenodo,https://zenodo.org/record/6220409#.YkWz-ihBwdU,181.0,134.0,72.0,30.0,2022-01-17
50,10.5334/johd.62,Zenodo,https://doi.org/10.5281/zenodo.5591908,186.0,155.0,64.0,40.0,2021-10-14
