DOI,repo-name,repourl,views,unique-views,downloads,unique-downloads
10.5334/johd.36,Zenodo,https://zenodo.org/record/4571507,166,145,124,107
10.5334/johd.37,Zenodo,http://doi.org/10.5281/zenodo.4891842,25,20,21,10
10.5334/johd.39,Zenodo,https://zenodo.org/record/4583802,410,346,132,123
10.5334/johd.42,Zenodo,https://doi.org/10.5281/zenodo.4707811,109,83,10,10
10.5334/johd.43,,http://doi.org/10.5281/zenodo.4946479,NA,NA,NA,NA
10.5334/johd.44,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QD94F9,NA,NA,65,NA
10.5334/johd.45,Zenodo,https://doi.org/10.5281/zenodo.4748989,127,88,25,17
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4905560,65,52,8,4
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4746341,334,282,42,26
10.5334/johd.47,Dataverse,https://doi.org/10.7910/DVN/5TEA5A,NA,NA,307,NA
10.5334/johd.48,Zenodo,http://doi.org/10.5281/zenodo.4782245,447,337,383,187
10.5334/johd.49,DANS,https://doi.org/10.17026/dans-zqk-zmqs,NA,NA,NA,NA
10.5334/johd.54,Zenodo,http://doi.org/10.5281/zenodo.5615759,40,28,2,2
10.5334/johd.55,Zenodo,https://doi.org/10.5281/zenodo.5074307,272,216,25,25
10.5334/johd.56,Other,https://bl.iro.bl.uk/concern/datasets/f3686eb9-4227-45cb-9acb-0453d35e6a03,NA,NA,NA,NA
10.5334/johd.57,Dataverse,https://doi.org/10.7910/DVN/BYPOOR,NA,NA,268,NA
10.5334/johd.58,Zenodo,http://doi.org/10.5281/zenodo.5735624,155,110,423,22
10.5334/johd.59,OSF,https://osf.io/daksh/,NA,NA,NA,NA
10.5334/johd.62,Zenodo,https://doi.org/10.5281/zenodo.5591908,207,169,70,45
10.5334/johd.63,Dataverse,http://doi.org/10.7910/DVN/BYNHX6,NA,NA,358,NA
10.5334/johd.65,Zenodo,https://zenodo.org/record/5602978#.YkWwoihBwdV,192,121,131,85
10.5334/johd.67,Other,https://www.loc.gov/search/?fa=contributor:by+the+people+%28program%29,NA,NA,NA,NA
10.5334/johd.68,Dataverse,https://doi.org/10.7910/DVN/PAGGQS,NA,NA,14,NA
10.5334/johd.69,Dataverse,https://hdl.handle.net/10622/R9IHT4,NA,NA,32,NA
10.5334/johd.70,Dataverse,http://doi.org/10.7910/DVN/JGL7LB,NA,NA,176,NA
10.5334/johd.70,Dataverse,http://doi.org/10.7910/DVN/BVEOEX,NA,NA,179,NA
10.5334/johd.70,Zenodo,http://doi.org/10.5281/zenodo.4950243,51,46,37,28
10.5334/johd.71,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HAKKUA,NA,NA,115,NA
10.5334/johd.74,Zenodo,https://zenodo.org/record/6220409#.YkWz-ihBwdU,200,145,75,31
10.5334/johd.75,Other,http://doi.org/10.34847/nkl.bfc67gni,NA,NA,NA,NA
10.5334/johd.76,Dataverse,http://doi.org/10.7910/DVN/CZ4PBO,NA,NA,23,NA
